"Surname","First Name","Other Names","Preferred Name","Initials","Title","Salutation","Honorific","Gender","Telephone","Fax","Political Party","State","Electorate","ElectorateAddressLine1","ElectorateAddressLine2","ElectorateSuburb","ElectorateState","ElectoratePostCode","ElectorateTelephone","ElectorateFax","ElectorateTollFree","ElectoratePostAddress","ElectoratePostSuburb","ElectoratePostState","ElectoratePostPostCode","LabelAddress","LabelSuburb","LabelState","LabelPostCode","Parliamentary Title"
"Martin","Fiona","Barbouttis",,"F. B.","Dr","Dr","MP","FEMALE","(02) 6277 4156","(02) 6277 8415","LP","NSW","Reid","72 Burwood Road",,"Burwood North","NSW",2134,"(02) 9715 7444",,,"PO Box 2028",,,,"PO Box 2028","Burwood North","NSW",2134,
"McBride","Emma","Margaret","Emma","E. M.","Ms","Ms","MP","FEMALE","(02) 6277 4515","(02) 6277 8441","ALP","NSW","Dobell","Suite 204, Level 2 Mariners Centre of Excellence","1 Bryant Drive","Tuggerah","NSW",2259,"(02) 4353 0127","(02) 4353 0248",,"PO Box 3763",,,,"PO Box 3763","Tuggerah","NSW",2259,
"McCormack","Michael","Francis","Michael","M. F.","Hon","Mr","MP","MALE","(02) 6277 7520","(02) 6273 4120","Nats","NSW","Riverina","Suite 2","11-15 Fitzmaurice Street","Wagga Wagga","NSW",2650,"(02) 6921 4600","(02) 6921 5900",,,,,,"Suite 2, 11-15 Fitzmaurice Street","Wagga Wagga","NSW",2650,"Deputy Prime Minister, Minister for Infrastructure,Transport and Regional Development, Leader of The Nationals"
"McIntosh","Melissa","Iris",,"M. I.","Mrs","Mrs","MP","FEMALE","(02) 6277 4492","(02) 6277 8479","LP","NSW","Lindsay","Ground Floor","331 High Street","Penrith","NSW",2750,"(02) 4722 0600",,,"PO Box 712",,,,"PO Box 712","Penrith","NSW",2750,
"McVeigh","John","Joseph","John","J. J.","Hon Dr","Dr","MP","MALE","(02) 6277 4277","(02) 6277 8564","LNP","QLD","Groom","216 Margaret Street","(Cnr Duggan Street)","Toowoomba","QLD",4350,"(07) 4632 4144","(07) 4638 2147",,"P.O. Box 777",,,,"P.O. Box 777","Toowoomba","QLD",4350,
"Mitchell","Brian","Keith","Brian","B. K.","Mr","Mr","MP","MALE","(02) 6277 4270","(02) 6277 8422","ALP","TAS","Lyons","Suite 105, Green Point Plaza",,"Bridgewater","TAS",7030,"(03) 6263 3721",,,"PO Box 61",,,,"PO Box 61","Bridgewater","TAS",7030,
"Mitchell","Robert","George","Rob","R. G.","Mr","Mr","MP","MALE","(02) 6277 4117","(02) 6277 8443","ALP","VIC","McEwen","Shop EOO - 48 Craigieburn Central Shopping Centre","340 Craigieburn Road","Craigieburn","Vic",3064,"(03) 9333 0440","(03) 9333 8377",,"PO Box 314",,,,"PO Box 314","Craigieburn","Vic",3064,"Second Deputy Speaker"
"Morrison","Scott","John",,"S. J.","Hon","Mr","MP","MALE","(02) 6277 7700","(02) 6273 4100","LP","NSW","Cook","Suite 102, Level 1","30 The Kingsway","Cronulla","NSW",2230,"(02) 9523 0339","(02) 9523 8959",,"PO Box 1306",,,,"PO Box 1306","Cronulla","NSW",2230,"Prime Minister, Minister for the Public Service"
"Morton","Ben",,"Ben","B.","Hon","Mr","MP","MALE","(02) 6277 2035","(02) 6277 8420","LP","WA","Tangney","6 Aveley Street",,"Willetton","WA",6155,"(08) 9354 9633",,,"PO Box 329",,,,"PO Box 329","Willetton","WA",6155,"Assistant Minister to the Prime Minister and Cabinet"
"Mulino","Daniel",,,"D.","Dr","Dr","MP","MALE","(02) 6277 4311","(02) 6277 8454","ALP","VIC","Fraser","Suites 5207 & 5208, Level 5","12 Clarke Street","Sunshine","VIC",3020,"(03) 9070 1974",,,,,,,"Suites 5207 & 5208, Level 5, 12 Clarke Street","Sunshine","VIC",3020,
"Murphy","Peta","Jan",,"P. J.","Ms","Ms","MP","FEMALE","(02) 6277 4370","(02) 6277 8445","ALP","VIC","Dunkley","37 Playne Street",,"Frankston","VIC",3199,"(03) 9781 2333",,,,,,,"37 Playne Street","Frankston","VIC",3199,
"Neumann","Shayne","Kenneth",,"S. K.","Hon","Mr","MP","MALE","(02) 6277 4755","(02) 6277 8533","ALP","QLD","Blair","Shop 28-29, 68 Hunter Street",,"Brassall","QLD",4305,"(07) 3201 5300","(07) 3201 5311",,"PO Box 5117",,,,"PO Box 5117","Brassall","QLD",4305,
"O'Brien","Edward","Lynam","Ted","E. L.","Mr","Mr","MP","MALE","(02) 6277 4130","(02) 6277 8410","LNP","QLD","Fairfax","17 Southern Drive",,"Maroochydore","QLD",4558,"(07) 5479 2800","(07) 5443 5333",,"PO Box 1978","Sunshine Plaza","QLD",4558,"PO Box 1978","Sunshine Plaza","QLD",4558,
"O'Brien","Llewellyn","Stephen","Llew","L. S.","Mr","Mr","MP","MALE","(02) 6277 2301","(02) 6277 8550","LNP","QLD","Wide Bay","319 Kent Street",,"Maryborough","QLD",4650,"(07) 4121 2936",,,"PO Box 283",,,,"PO Box 283","Maryborough","QLD",4650,
"O'Connor","Brendan","Patrick John",,"B. P. J.","Hon","Mr","MP","MALE","(02) 6277 4105","(02) 6277 2286","ALP","VIC","Gorton","Suite 1 Level 2 13-15 Lake Street",,"Caroline Springs","Vic",3023,"(03) 8390 6166","(03) 8358 4245",,,,,,"Suite 1 Level 2 13-15 Lake Street","Caroline Springs","Vic",3023,
"O'Dowd","Kenneth","Desmond","Ken","K. D.","Mr","Mr","MP","MALE","(02) 6277 4380","(02) 6277 8495","LNP","QLD","Flynn","76 Goondoon Street",,"Gladstone","QLD",4680,"(07) 4972 5465","(07) 4972 0888",,,,,,"76 Goondoon Street","Gladstone","QLD",4680,"Deputy Nationals Whip"
"O'Neil","Clare","Ellen",,"C. E.","Ms","Ms","MP","FEMALE","(02) 6277 4907","(02) 6277 2347","ALP","VIC","Hotham","401 Clayton Road",,"Clayton","VIC",3168,"(03) 9545 6211","(03) N/A",,"PO Box 5295",,,,"PO Box 5295","Clayton","VIC",3168,
"Owens","Julie","Ann",,"J. A.","Ms","Ms","MP","FEMALE","(02) 6277 4134","(02) 6277 8433","ALP","NSW","Parramatta","Suite 1","25 Smith Street (Entry via Macquarie Street)","Parramatta","NSW",2150,"(02) 9689 1455","(02) 9689 3813",,,,,,"Suite 1, 25 Smith Street (Entry via Macquarie Street)","Parramatta","NSW",2150,
"Pasin","Antony",,"Tony","A.","Mr","Mr","MP","MALE","(02) 6277 4864","(02) 6277 4865","LP","SA","Barker","27 Commercial Street",,"Mt Gambier","SA",5290,"(08) 8724 7730","(08) 8723 2230",,,,,,"27 Commercial Street","Mt Gambier","SA",5290,
"Payne","Alicia","Emma",,"A. E.","Ms","Ms","MP","FEMALE","(02) 6277 4168","(02) 6277 8421","ALP","ACT","Canberra","Suite R2 95","Parliament House","Canberra","ACT",2600,"(02) 6277 4168",,,,,,,"Suite R2 95, Parliament House","Canberra","ACT",2600,
"Pearce","Gavin","Bruce","Gavin","G. B.","Mr","Mr","MP","MALE","(02) 6277 4432","(02) 6277 8472","LP","TAS","Braddon","2/32 Wilmot Street",,"Burnie","TAS",7320,"(03) 6431 1333",,,"PO Box 908",,,,"PO Box 908","Burnie","TAS",7320,
"Perrett","Graham","Douglas",,"G. D.","Mr","Mr","MP","MALE","(02) 6277 4542","(02) 6277 8419","ALP","QLD","Moreton","Suite 106, Sunnybank Times Square","250 McCullough Street","Sunnybank","Qld",4109,"(07) 3344 2622","(07) 3344 4276",,"PO Box 419, Sunnybank Plaza",,,,"PO Box 419, Sunnybank Plaza","Sunnybank","Qld",4109,
"Phillips","Fiona","Evon",,"F. E.","Mrs","Mrs","MP","FEMALE","(02) 6277 4372","(02) 6277 8446","ALP","NSW","Gilmore","Unit 3","59 Junction Street","Nowra","NSW",2541,"(02) 4423 1782",,,"PO Box 1009",,,,"PO Box 1009","Nowra","NSW",2541,
"Pitt","Keith","John","Keith","K. J.","Hon","Mr","MP","MALE","(02) 6277 4122","(02) 6277 2394","LNP","QLD","Hinkler","41 Woongarra Street",,"Bundaberg","Qld",4670,"(07) 4152 0744","(07) 4153 1752",,"PO Box 535","Bundaberg","Qld",4670,"PO Box 535","Bundaberg","Qld",4670,
"Plibersek","Tanya","Joan",,"T. J.","Hon","Ms","MP","FEMALE","(02) 6277 4404","(02) 6277 2212","ALP","NSW","Sydney","1a Great Buckingham Street (cnr. Cleveland Street)","Redfern","Sydney","NSW",2016,"(02) 9379 0700","(02) 9379 0701",,"PO Box  2676","Strawberry Hills","NSW",2012,"PO Box  2676","Strawberry Hills","NSW",2012,
"Porter","Charles","Christian","Christian","C. C.","Hon","Mr","MP","MALE","(02) 6277 7300","(02)N/A","LP","WA","Pearce","Unit 3, 28 Main Street",,"Ellenbrook","WA",6069,"(08) 6296 7255","(08) 9297 3244",,"PO Box 2226","Ellenbrook","WA",6069,"PO Box 2226","Ellenbrook","WA",6069,"Attorney-General, Minister for Industrial Relations, Leader of the House"
"Price","Melissa","Lee",,"M. L.","Hon","Ms","MP","FEMALE","(02) 6277 7840","(02) N/A","LP","WA","Durack","2B/209 Foreshore Drive",,"Geraldton","WA",6530,"(08) 9964 2195","(08) 9921 7990",,,,,,"2B/209 Foreshore Drive","Geraldton","WA",6530,"Minister for Defence Industry"
"Ramsey","Rowan","Eric",,"R. E.","Mr","Mr","MP","MALE","(02) 6277 4967","(02) 6277 8440","LP","SA","Grey","104 Ellen St",,"Port Pirie","SA",5540,"(08) 8633 1744","(08) 8633 1749",,"PO Box 296",,,,"PO Box 296","Port Pirie","SA",5540,"Government Whip"
"Rishworth","Amanda","Louise",,"A. L.","Hon","Ms","MP","FEMALE","(02) 6277 2293","(02) 6277 8498","ALP","SA","Kingston","232 Main South Road",,"Morphett Vale","SA",5162,"(08) 8186 2588","(08) 8186 2688",,,,,,"232 Main South Road","Morphett Vale","SA",5162,
"Robert","Stuart","Rowland",,"S. R.","Hon","Mr","MP","MALE","(02) 6277 7200","(02) N/A","LNP","QLD","Fadden","Unit 1, 110 Brisbane Road",,"Labrador","Qld",4215,"(07) 5500 5919","(07) 5500 5484",,"PO Box 733","Biggera Waters","Qld",4216,"PO Box 733","Biggera Waters","Qld",4216,"Minister for the National Disability Insurance Scheme, Minister for Government Services"
"Rowland","Michelle","Anne","Michelle","M. A.","Ms","Ms","MP","FEMALE","(02) 6277 4833","(02) 6277 8586","ALP","NSW","Greenway","230 Prospect Highway",,"Seven Hills","NSW",2147,"(02) 9671 4780","(02) 9671 5147",,"PO Box 686","Seven Hills","NSW",1730,"PO Box 686","Seven Hills","NSW",1730,
"Ryan","Joanne","Catherine","Joanne","J. C.","Ms","Ms","MP","FEMALE","(02) 6277 4398","(02) 6277 2364","ALP","VIC","Lalor","Tenancies 3 & 4","203-205 Watton Street","Werribee","VIC",3030,"(03) 9742 5800","(03) 9741 6213",,,,,,"Tenancies 3 & 4, 203-205 Watton Street","Werribee","VIC",3030,"Opposition Whip"
"Sharkie","Rebekha","Carina Che","Rebekha","R. C. C.","Ms","Ms","MP","FEMALE","(02) 6277 2113","(02) 6277 8451","CA","SA","Mayo","1/72 Gawler Street",,"Mt Barker","SA",5251,"(08) 8398 5566",,,"PO Box 1601",,,,"PO Box 1601","Mt Barker","SA",5251,
"Sharma","Dave","Noel","Dave","D. N.","Mr","Mr","MP","MALE","(02) 6277 4166","(02) 6277 8418","LP","NSW","Wentworth","Ground Floor","287 New South Head Road","Edgecliff","NSW",2027,"(02) 9327 3988",,,"PO Box 545",,,,"PO Box 545","Edgecliff","NSW",2027,
"Shorten","William","Richard","Bill","W. R.","Hon","Mr","MP","MALE","(02) 6277 4167","(02) 6277 8420","ALP","VIC","Maribyrnong","Suite 1A, 12 Hall Street",,"Moonee Ponds","VIC",3039,"(03) 9326 1300","(03) 9326 0611",,"PO Box 214",,,,"PO Box 214","Moonee Ponds","VIC",3039,
"Simmonds","Julian",,,"J.","Mr","Mr","MP","MALE","(02) 6277 4483","(02) 6277 8478","LNP","QLD","Ryan","636 Moggill Road",,"Chapel Hill","QLD",4069,"(07) 3378 1599",,,"PO Box 704","Indooroopilly Centre","QLD",4068,"PO Box 704","Indooroopilly Centre","QLD",4068,
"Smith","Anthony","David Hawthorn","Tony","A. D. H.","Hon","Mr","MP","MALE","(02) 6277 4000","(02) 6277 2050","LP","VIC","Casey","Suite 11","1 East Ridge Drive","Chirnside Park","VIC",3116,"(03) 9727 0799",,,"PO Box 40",,,,"PO Box 40","Chirnside Park","VIC",3116,"Speaker"
"Smith","David","Philip Benedict",,"D. P. B.","Mr","Mr","MP","MALE","(02) 6277 4346","(02) 6277 8430","ALP","ACT","Bean","205 Anketell Street",,"Tuggeranong","ACT",2900,"(02) 6293 1344",,,,,,,"205 Anketell Street","Tuggeranong","ACT",2900,
"Snowdon","Warren","Edward",,"W. E.","Hon","Mr","MP","MALE","(02) 6277 4081","(02) 6277 2088","ALP","NT","Lingiari","Unit 3, 12 Gregory Terrace",,"Alice Springs","NT",870,"(08) 8952 9696","(08) 8952 5922",,"PO Box 4007",,,,"PO Box 4007","Alice Springs","NT",870,
"Stanley","Anne","Maree","Anne","A. M.","Ms","Ms","MP","FEMALE","(02) 6277 2103","(02) 6277 8446","ALP","NSW","Werriwa","Shop 7, 441 Hoxton Park",,"Hinchinbrook","NSW",2168,"(02) 8783 0977","(02) 9825 0244",,"PO Box 88","Hoxton Park","NSW",2171,"PO Box 88","Hoxton Park","NSW",2171,"Opposition Whip"
"Steggall","Zali",,"Zali","Z.","Ms","Ms","OAM, MP","FEMALE","(02) 6277 4373","(02) 6277 8447","IND","NSW","Warringah","Level 2","17-19 Sydney Road","Manly","NSW",2095,"(02) 9977 6411",,,"PO Box 450",,,,"PO Box 450","Manly","NSW",2095,
"Stevens","James",,,"J.","Mr","Mr","MP","MALE","(02) 6277 4020","(02) 6277 8400","LP","SA","Sturt","429 Magill Road",,"St Morris","SA",5068,"(08) 8431 2277",,,,,,,"429 Magill Road","St Morris","SA",5068,
"Sukkar","Michael","Sven","Michael","M. S.","Hon","Mr","MP","MALE","(02) 6277 7230","(02) N/A","LP","VIC","Deakin","5/602 Whitehorse Road",,"Mitcham","VIC",3132,"(03) 9874 1711","(03) N/A",,"PO Box 232",,,,"PO Box 232","Mitcham","VIC",3132,"Assistant Treasurer, Minister for Housing"
"Swanson","Meryl","Jane",,"M. J.","Ms","Ms","MP","FEMALE","(02) 6277 4248","(02) 6277 8487","ALP","NSW","Paterson","35 Sturgeon Street",,"Raymond Terrace","NSW",2324,"(02) 4983 2401",,,"PO Box 156",,,,"PO Box 156","Raymond Terrace","NSW",2324,
"Taylor","Angus","James","Angus","A. J.","Hon","Mr","MP","MALE","(02) 6277 7120","(02) N/A","LP","NSW","Hume","18 Hill Street",,"Camden","NSW",2570,"(02) 4658 7188","(02) 4658 7222",,"PO Box 21",,,,"PO Box 21","Camden","NSW",2570,"Minister for Energy and Emissions Reduction"
"Tehan","Daniel","Thomas","Dan","D. T.","Hon","Mr","MP","MALE","(02) 6277 7350","(02) N/A","LP","VIC","Wannon","190 Gray Street",,"Hamilton","VIC",3300,"(03) 5572 1100","(03) N/A",,,,,,"190 Gray Street","Hamilton","VIC",3300,"Minister for Education"
"Templeman","Susan","Raye","Susan","S. R.","Ms","Ms","MP","FEMALE","(02) 6277 4784","(02) 6277 8459","ALP","NSW","Macquarie","Ground Floor, 299 George Street",,"Windsor","NSW",2756,"(02) 4573 8222","(02) 4573 8396","1300 519 482","PO Box 855",,,,"PO Box 855","Windsor","NSW",2756,
"Thistlethwaite","Matthew","James","Matt","M. J.","Hon","Mr","MP","MALE","(02) 6277 4840","(02) 6277 4969","ALP","NSW","Kingsford Smith","Shop 6","205 Maroubra Road","Maroubra","NSW",2035,"(02) 9349 6007","(02) 9349 8089",,"PO Box 895",,,,"PO Box 895","Maroubra","NSW",2035,
"Thompson","Phillip",,,"P.","Mr","Mr","OAM, MP","MALE","(02) 6277 4418","(02) 6277 8471","LNP","QLD","Herbert","Nathan Business Centre","Cnr Ross River Road and Nathan Street","Cranbrook","QLD",4814,"(07) 4725 2066","(07) 4725 2088",,"PO Box 226","Aitkenvale BC","QLD",4814,"PO Box 226","Aitkenvale BC","QLD",4814,
"Thwaites","Kate","Lynne",,"K. L.","Ms","Ms","MP","FEMALE","(02) 6277 4305","(02) 6277 8452","ALP","VIC","Jagajaga","149 Burgundy Street",,"Heidelberg","VIC",3084,"(03) 9459 1411","(03) N/A",,"PO Box 316",,,,"PO Box 316","Heidelberg","VIC",3084,
"Tudge","Alan","Edward","Alan","A. E.","Hon","Mr","MP","MALE","(02) 6277 7790","(02) N/A","LP","VIC","Aston","Suite 4, Level 1","420 Burwood Highway","Wantirna South","Vic",3152,"(03) 9887 3890","(03) 9887 3893",,,,,,"Suite 4, Level 1, 420 Burwood Highway","Wantirna South","Vic",3152,"Minister for Population, Cities and Urban Infrastructure"
"Vamvakinou","Maria",,,"M.","Ms","Ms","MP","FEMALE","(02) 6277 4249","(02) 6277 8426","ALP","VIC","Calwell","Shop M0004, 80 Taylors Road",,"Keilor Downs","VIC",3038,"(03) 9367 5216","(03) 9367 3064",,,,,,"Shop M0004, 80 Taylors Road","Keilor Downs","VIC",3038,
"van Manen","Albertus","Johannes","Bert","A. J.","Mr","Mr","MP","MALE","(02) 6277 4088","(02) 6277 8553","LNP","QLD","Forde","Tenancy 4/96 George Street",,"Beenleigh","Qld",4207,"(07) 3807 6340","(07) 3807 1990",,"PO Box 884",,,,"PO Box 884","Beenleigh","Qld",4207,"Chief Government Whip"
"Vasta","Ross","Xavier","Ross","R. X.","Mr","Mr","MP","MALE","(02) 6277 4632","(02) 6277 8535","LNP","QLD","Bonner","69 Clara Street",,"Wynnum","QLD",4178,"(07) 3893 3488","(07) 3893 3422",,,,,,"69 Clara Street","Wynnum","QLD",4178,
"Wallace","Andrew","Bruce","Andrew","A. B.","Mr","Mr","MP","MALE","(02) 6277 4282","(02) 6277 8406","LNP","QLD","Fisher","'The Edge' Upper Level East, Unit 11","10 Lake Kawana Boulevard","Bokarina","QLD",4575,"(07) 5493 5556",,,"PO Box 1224","Buddina","QLD",4575,"PO Box 1224","Buddina","QLD",4575,
"Watts","Timothy","Graham","Tim","T. G.","Mr","Mr","MP","MALE","(02) 6277 4537","(02) 6277 2327","ALP","VIC","Gellibrand","97 Geelong Road",,"Footscray","VIC",3011,"(03)9687 7661","(03) N/A",,,,,,"97 Geelong Road","Footscray","VIC",3011,
"Webster","Anne","Elizabeth",,"A. E.","Dr","Dr","MP","FEMALE","(02) 6277 4027","(02) 6277 8406","Nats","VIC","Mallee","1/146A Eighth Street",,"Mildura","VIC",3500,"(03) 5021 5987",,,"PO Box 1133","Mildura","VIC",3502,"PO Box 1133","Mildura","VIC",3502,
"Wells","Anika","Shay",,"A. S","Ms","Ms","MP","FEMALE","(02) 6277 4299","(02) 6277 8460","ALP","QLD","Lilley","First Floor (Cnr Buckland Road)","1162 Sandgate Road","Nundah","QLD",4012,"(07) 3266 8244",,,"PO Box 182",,,,"PO Box 182","Nundah","QLD",4012,
"Wicks","Lucy","Elizabeth",,"L. E.","Mrs","Mrs","MP","FEMALE","(02) 6277 4738","(02) 6277 4739","LP","NSW","Robertson","Level 3","69 Central Coast Highway","West Gosford","NSW",2250,"(02) 4322 2400","(02) 4322 2499",,,,,,"Level 3, 69 Central Coast Highway","West Gosford","NSW",2250,
"Wilkie","Andrew","Damien","Andrew","A. D.","Mr","Mr","MP","MALE","(02) 6277 4766","(02) 6277 8579","IND","TAS","Clark","188 Collins Street",,"Hobart","Tas",7001,"(03) 6234 5255","(03) 6223 8560",,"GPO Box 32",,,,"GPO Box 32","Hobart","Tas",7001,
"Wilson","Joshua","Hamilton","Josh","J. H.","Mr","Mr","MP","MALE","(02) 6277 2081","(02) 6277 8437","ALP","WA","Fremantle","62 Wray Avenue",,"Fremantle","WA",6160,"(08)9335 8555","(08) 9336 1059",,"PO Box 1224","Fremantle","WA",6959,"PO Box 1224","Fremantle","WA",6959,
"Wilson","Richard","James","Rick","R. J.","Mr","Mr","MP","MALE","(02) 6277 4101","(02) 6277 2073","LP","WA","O'Connor","345 Hannan Street",,"Kalgoorlie","WA",6430,"(08) 9021 2044","(08) 9021 2033",,"PO Box 10415",,,,"PO Box 10415","Kalgoorlie","WA",6430,
"Wilson","Timothy","Robert","Tim","T. R.","Mr","Mr","MP","MALE","(02) 6277 2392","(02) 6277 8545","LP","VIC","Goldstein","368 Centre Road",,"Bentleigh","VIC",3204,"(03) 9557 4644",,,,,,,"368 Centre Road","Bentleigh","VIC",3204,
"Wood","Jason","Peter","Jason","J. P.","Hon","Mr","MP","MALE","(02) 6277 4982","(02) 6277 4994","LP","VIC","La Trobe","Unit 3","16 Langmore Lane","Berwick","VIC",3806,"(03) 9768 9164",,,"PO Box 539",,,,"PO Box 539","Berwick","VIC",3806,"Assistant Minister for Customs, Community Safety and Multicultural Affairs"
"Wyatt","Kenneth","George","Ken","K. G.","Hon","Mr","AM, MP","MALE","(02) 6277 7780","(02) N/A","LP","WA","Hasluck","Shop 10-12 Forrestfield Forum, 80 Hale Road",,"Forrestfield","WA",6058,"(08) 9359 0322","(08) 9359 0197",,"PO Box 325",,,,"PO Box 325","Forrestfield","WA",6058,"Minister for Indigenous Australians"
"Young","Terry","James",,"T. J","Mr","Mr","MP","MALE","(02) 6277 4030","(02) 6277 8407","LNP","QLD","Longman","Unit A (Level 1)","69 King Street","Caboolture","QLD",4510,"(07) 5432 3177",,,"PO Box 42",,,,"PO Box 42","Caboolture","QLD",4510,
"Zappia","Antonio",,"Tony","A.","Mr","Mr","MP","MALE","(02) 6277 4147","(02) 6277 8592","ALP","SA","Makin","959 North East Road",,"Modbury","SA",5092,"(08) 8265 3100","(08) 8265 3900",,"PO Box 775",,,,"PO Box 775","Modbury","SA",5092,
"Zimmerman","Trent","Moir","Trent","T. M.","Mr","Mr","MP","MALE","(02) 6277 4744","(02) 6277 8405","LP","NSW","North Sydney","Level 10, 2 Elizabeth Plaza",,"North Sydney","NSW",2060,"(02) 9929 9822","(02) 9929 9833",,"PO Box 1107",,,,"PO Box 1107","North Sydney","NSW",2060,
